StudyID,school,female,eth,ell,sped,frpl,time,age,scw_s,coregpa,pn_bf1,pn_bf2,pn_scw,pn_scw2,avg_scw_tr
1013,p2,0,Caucasian,0,0,0,T2,14.333333333333334,4,81.33333333333333,1016,1143,1110,NA,NA
1013,p2,0,Caucasian,0,0,0,T3,14.75,3.2,81.33333333333333,1016,1143,1104,NA,3
1013,p2,0,Caucasian,0,0,0,T4,15.25,3.4,82.83333333333333,1016,2496,1182,NA,3
1014,p2,0,Caucasian,0,0,0,T1,13.5,4,72.33333333333333,1019,1185,1253,1348,3.25
1014,p2,0,Caucasian,0,0,0,T2,14.083333333333334,4.2,81.33333333333333,1348,1019,1025,NA,NA
1014,p2,0,Caucasian,0,0,0,T3,14.5,NA,59.666666666666664,NA,NA,NA,NA,NA
1014,p2,0,Caucasian,0,0,0,T4,15,3.8,82.16666666666667,1201,1359,NA,NA,4
1016,p2,0,Caucasian,0,1,0,T1,13.916666666666666,4,82.66666666666667,NA,NA,NA,NA,4
1016,p2,0,Caucasian,0,1,0,T2,14.583333333333334,4,89.83333333333333,1291,1050,1342,NA,NA
1016,p2,0,Caucasian,0,1,0,T3,15,3.8,85.66666666666667,1013,2143,1124,NA,4.333333333333333
1016,p2,0,Caucasian,0,1,0,T4,15.416666666666666,3.8,82,1013,1009,1009,NA,4.5
1017,p2,1,Asian,1,0,0,T1,13.166666666666666,4.2,94,1203,1303,1191,1305,4.25
1017,p2,1,Asian,1,0,0,T2,13.75,4,94.16666666666667,1203,1178,1113,NA,NA
1017,p2,1,Asian,1,0,0,T3,14.166666666666666,4.2,89,1261,1103,2502,NA,4.666666666666667
1017,p2,1,Asian,1,0,0,T4,14.666666666666666,4,87.83333333333333,1261,2307,2226,NA,4
1018,p2,0,Caucasian,0,0,0,T1,13.75,3.6,91.33333333333333,1171,1165,1113,1182,4.5
1018,p2,0,Caucasian,0,0,0,T2,14.333333333333334,3.8,91.66666666666667,1120,1171,1337,NA,NA
1018,p2,0,Caucasian,0,0,0,T3,14.75,4.2,87.33333333333333,1171,1165,1171,NA,4.333333333333333
1018,p2,0,Caucasian,0,0,0,T4,15.25,4.2,85.83333333333333,1171,1165,1171,NA,4
1019,p2,0,Caucasian,0,0,0,T1,13.916666666666666,4.6,83.33333333333333,1014,1185,1341,1381,3.75
1019,p2,0,Caucasian,0,0,0,T2,14.583333333333334,4.6,83.5,1014,1185,1019,NA,NA
1019,p2,0,Caucasian,0,0,0,T3,15,NA,83,NA,NA,NA,NA,NA
1019,p2,0,Caucasian,0,0,0,T4,15.416666666666666,5,81.75,1114,1045,1114,NA,4
1022,p2,1,Caucasian,0,0,0,T1,13.75,4,93.33333333333333,1279,1330,1169,1279,4.5
1022,p2,1,Caucasian,0,0,0,T2,14.333333333333334,4,97,1279,1206,1022,NA,NA
1022,p2,1,Caucasian,0,0,0,T3,14.833333333333334,NA,NA,NA,NA,NA,NA,2
1022,p2,1,Caucasian,0,0,0,T4,15.25,NA,NA,NA,NA,NA,NA,NA
1023,p2,1,Caucasian,0,1,0,T1,13.666666666666666,5,95,1015,1004,1015,1010,4.25
1023,p2,1,Caucasian,0,1,0,T2,14.25,5,93.66666666666667,1015,1179,1179,NA,NA
1023,p2,1,Caucasian,0,1,0,T3,14.666666666666666,NA,NA,NA,NA,NA,NA,NA
1023,p2,1,Caucasian,0,1,0,T4,15.166666666666666,NA,NA,NA,NA,NA,NA,NA
1024,p2,1,Caucasian,0,1,0,T1,13.833333333333334,3.6,70.33333333333333,1047,1094,1024,1073,2.25
1024,p2,1,Caucasian,0,1,0,T2,14.416666666666666,3.6,71.375,1372,1094,1372,NA,NA
1024,p2,1,Caucasian,0,1,0,T3,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
1024,p2,1,Caucasian,0,1,0,T4,15.333333333333334,NA,NA,NA,NA,NA,NA,NA
1025,p2,0,Caucasian,0,0,0,T1,13.416666666666666,3.8,83,1064,1130,1305,1089,4.25
1025,p2,0,Caucasian,0,0,0,T2,14,3,88.33333333333333,1130,1064,1130,NA,NA
1025,p2,0,Caucasian,0,0,0,T3,14.5,NA,NA,NA,NA,NA,NA,NA
1025,p2,0,Caucasian,0,0,0,T4,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
